STATE,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1989,68394,23453,67895,37128,722979,71179,95831,18900,37469,241633,133794,29427,16909,266608,107199,52907,48814,65525,87574,22670,107444,158200,190626,98313,37208,101412,12630,31332,27847,23777,205075,24927,473252,133866,10729,217817,55007,52610,233162,28267,21059,61347,11790,91579,349952,28668,11120,137661,108064,26663,95216,11437
1990,71610,25040,70632,38680,773460,75571,100169,19928,39688,256589,140646,32534,18004,279019,110860,56121,51874,68412,95177,23256,112835,159505,193103,102757,38757,103566,13242,33734,30980,23768,214357,26600,493192,139658,11509,227413,57805,56566,245281,30604,21664,65157,12770,94087,378943,31249,11674,144971,118640,27754,100236,12705
1991,76043,22283,73358,41572,790046,79766,101475,21746,41430,267669,147760,34357,18852,288473,114637,57944,53981,71679,96043,23379,115428,160728,197717,106102,40862,109162,13875,35613,32786,24763,221915,30295,497336,146367,11691,233975,59632,59441,255163,32287,21738,68000,13736,101208,393574,33501,11733,151093,125895,29092,104774,12977
1992,81260,22753,82682,45018,807358,87302,105759,22907,43187,284673,160062,36129,20632,306236,124714,61870,56902,77531,90890,24329,119535,167435,212057,114518,44012,115288,14937,38214,36052,26332,230774,32638,519704,159337,12896,250650,62209,63392,269849,34630,22665,71848,14886,111660,416401,35602,12538,158990,134469,30410,112972,13179
1993,84563,23284,89300,47566,826447,95659,107680,23509,45356,304403,171659,36732,23100,320079,132108,63386,58953,81618,95866,25202,125515,173527,226368,117947,47340,118906,16054,39353,40039,27362,240389,36876,537504,168006,13049,259612,65552,69409,281704,36922,23566,76158,16105,119568,443775,38631,13027,167688,142500,31881,120024,13791
1994,90098,23605,100374,51416,861360,104507,113115,25638,46655,327167,187996,37395,25455,347971,143335,70161,63304,87646,105119,26543,133311,185710,251484,128167,51602,130567,17062,43504,45173,29190,251573,41685,555322,181288,14304,281925,68251,75393,296602,39691,24354,82062,17330,129895,475990,42591,13689,177057,150805,34592,129437,14070
1995,95819,25449,109906,54612,911577,112708,123212,27721,47094,346951,203397,37763,27762,364451,150404,73137,65282,91915,112876,28153,139070,196409,256615,135124,54984,140060,17519,45111,49249,31876,263468,42146,582656,193467,14842,297538,70859,81554,312989,42647,25550,87248,18054,137061,507725,46746,13891,186236,155069,36149,135311,14608
1996,100146,26737,119530,57976,964186,121081,129111,29156,47823,370912,219989,38125,28915,383504,158350,78819,69616,96617,118807,29256,145023,210630,270320,145880,57460,148257,18119,49007,54419,34561,278191,44532,620153,203815,16491,311120,76316,93306,325001,45341,26454,90755,19419,143163,551513,52016,14672,197756,166540,37224,143444,15752
1997,104218,25446,132708,60417,1081444,135868,140108,33672,51566,402340,242153,37655,29489,421596,172699,83772,75172,104831,117982,30720,161164,237226,302803,157214,58433,163526,19178,50605,60052,38400,308150,52564,711272,232370,15769,343460,79915,100790,355650,48187,29142,98196,19159,155195,614436,57097,15542,218652,193968,38673,155353,14719
1998,109414,24030,143768,62275,1151119,150555,147911,37298,53802,434494,263950,37585,31142,440034,186520,85629,79118,109619,120493,32394,170417,249090,313403,167034,61112,170692,20381,52399,64707,40652,321334,50566,741272,247372,16761,364985,81672,105526,373744,54086,30783,104039,20328,166282,648156,61717,16143,234071,209988,39881,163831,14946
