DATE,VALUE
1/1/89,121.2
2/1/89,121.6
3/1/89,122.2
4/1/89,123.1
5/1/89,123.7
6/1/89,124.1
7/1/89,124.5
8/1/89,124.5
9/1/89,124.8
10/1/89,125.4
11/1/89,125.9
12/1/89,126.3
1/1/90,127.5
2/1/90,128
3/1/90,128.6
4/1/90,128.9
5/1/90,129.1
6/1/90,129.9
7/1/90,130.5
8/1/90,131.6
9/1/90,132.5
10/1/90,133.4
11/1/90,133.7
12/1/90,134.2
1/1/91,134.7
2/1/91,134.8
3/1/91,134.8
4/1/91,135.1
5/1/91,135.6
6/1/91,136
7/1/91,136.2
8/1/91,136.6
9/1/91,137
10/1/91,137.2
11/1/91,137.8
12/1/91,138.2
1/1/92,138.3
2/1/92,138.6
3/1/92,139.1
4/1/92,139.4
5/1/92,139.7
6/1/92,140.1
7/1/92,140.5
8/1/92,140.8
9/1/92,141.1
10/1/92,141.7
11/1/92,142.1
12/1/92,142.3
1/1/93,142.8
2/1/93,143.1
3/1/93,143.3
4/1/93,143.8
5/1/93,144.2
6/1/93,144.3
7/1/93,144.5
8/1/93,144.8
9/1/93,145
10/1/93,145.6
11/1/93,146
12/1/93,146.3
1/1/94,146.3
2/1/94,146.7
3/1/94,147.1
4/1/94,147.2
5/1/94,147.5
6/1/94,147.9
7/1/94,148.4
8/1/94,149
9/1/94,149.3
10/1/94,149.4
11/1/94,149.8
12/1/94,150.1
1/1/95,150.5
2/1/95,150.9
3/1/95,151.2
4/1/95,151.8
5/1/95,152.1
6/1/95,152.4
7/1/95,152.6
8/1/95,152.9
9/1/95,153.1
10/1/95,153.5
11/1/95,153.7
12/1/95,153.9
1/1/96,154.7
2/1/96,155
3/1/96,155.5
4/1/96,156.1
5/1/96,156.4
6/1/96,156.7
7/1/96,157
8/1/96,157.2
9/1/96,157.7
10/1/96,158.2
11/1/96,158.7
12/1/96,159.1
1/1/97,159.4
2/1/97,159.7
3/1/97,159.8
4/1/97,159.9
5/1/97,159.9
6/1/97,160.2
7/1/97,160.4
8/1/97,160.8
9/1/97,161.2
10/1/97,161.5
11/1/97,161.7
12/1/97,161.8
1/1/98,162
2/1/98,162
3/1/98,162
4/1/98,162.2
5/1/98,162.6
6/1/98,162.8
7/1/98,163.2
8/1/98,163.4
9/1/98,163.5
10/1/98,163.9
11/1/98,164.1
12/1/98,164.4
1/1/99,164.7
2/1/99,164.7
3/1/99,164.8
4/1/99,165.9
5/1/99,166
