Year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1990,708.6,524.5,652.4,532.2,1045.2,526,553.7,655.2,2458.2,1244.3,756.3,280.9,275.7,967.4,473.9,299.7,447.7,390.4,898.4,143.2,919,736.3,790.4,306.1,340.4,715.3,159.3,330,600.9,131.5,647.6,780.2,1180.9,623.5,73.9,506.2,547.5,506.8,431,431.9,976.6,162.8,670.4,761.4,283.9,127.2,350.6,501.6,169.3,264.7,301.4
1991,844.2,613.9,670.7,593.3,1089.9,559.3,539.7,714.3,2453.3,1184.3,738.2,241.8,290.3,1039.2,505.3,303.3,499.6,438,951,132.1,956.2,736.1,803.1,316,389.1,763,139.9,334.6,677,119.3,634.8,834.8,1163.9,658.4,65.4,561.8,583.7,506.3,450,462,972.5,182.2,725.9,840.1,286.8,116.8,373.2,522.6,191,277,310.2
1992,871.7,660.5,670.8,576.5,1119.7,578.8,495.3,621.2,2832.8,1207.2,733.2,258.4,281.4,977.3,508.5,278,510.8,535.5,984.6,130.9,1000.1,779,770.1,338,411.7,740.4,169.9,348.6,696.8,125.7,625.8,934.9,1122.1,681,83.3,525.9,622.8,510.2,427,394.5,944.5,194.5,746.2,806.3,290.5,109.5,374.9,534.5,211.5,275.7,319.5
1993,780.4,760.8,715,593.3,1077.8,567.3,456.2,685.9,2921.8,1206,723.1,261.2,281.8,959.7,489.1,325.5,496.4,462.7,1061.7,125.7,997.8,804.9,791.5,353.9,433.9,744.4,177.5,377.8,875.2,137.8,626.9,929.7,1073.5,679.3,82.2,504.1,634.8,503.1,417.5,401.7,1023.4,208.4,765.8,762.1,301,114.2,372.2,514.6,208.4,264.4,286.2
1994,683.7,766.3,703.1,595.1,1013,509.6,455.5,644.3,2662.6,1146.8,667.7,262.2,285.8,960.9,525.1,315.1,443,444,981.9,129.9,948,707.6,766.1,359,493.7,743.5,177.1,389.5,1001.9,116.8,614.2,889.2,965.6,655,81.8,485.8,651.5,520.6,426.7,375.5,1030.5,227.6,747.9,706.5,304.5,96.9,357.7,511.3,215.8,270.5,272.5
1995,632.4,770.9,713.5,553.2,966,440.2,405.9,725,2661.4,1071,657.1,295.6,322,996.1,524.7,354.4,420.7,364.7,1007.4,131.4,986.9,687.2,687.8,356.1,502.8,663.8,171.4,382,945.2,114.5,599.8,819.2,841.9,646.4,86.7,482.5,664.1,522.4,427.3,368,981.9,207.5,771.5,663.9,328.8,118.3,361.5,484.3,210.2,281.1,254.2
1996,565.4,727.7,631.5,524.3,862.7,404.5,412,668.3,2469.8,1051,638.7,280.6,267.2,890.4,537,272.5,413.8,320.5,929.1,124.9,931.2,642.2,635.3,338.8,488.3,590.9,161,434.7,811.3,118.2,531.5,840.6,727,588.1,84,428.7,597.1,463.1,480.3,347.2,996.9,177.2,774,644.4,331.9,121.2,341.3,431.2,210.1,252.7,249.7
1997,564.5,701.1,623.7,526.9,798.3,363.2,390.9,785.9,2024.2,1023.6,606.6,277.9,256.8,861.4,514.6,310,429.7,316.9,855.9,120.8,846.6,644.2,590,337.8,469,577.4,132.1,438.4,798.7,113.2,492.6,853.3,688.6,607,87.2,435.4,559.5,444.4,442.1,333.5,990.3,197.4,789.7,602.5,334,119.7,345.2,440.7,218.7,270.6,255.2
1998,512.1,653.9,577.9,490.2,703.7,377.9,366.3,762.4,1718.5,938.7,572.7,246.9,282.2,807.7,431,311.5,417.3,328,779.5,125.9,796.6,621.3,620.8,310.2,410.7,555.7,204.2,451.4,643.6,107.2,440.2,961.4,637.8,579.4,89.3,362.5,539.4,419.8,420.5,312.1,903.2,154.3,715,564.6,279.5,106.3,325.7,428.5,248.6,249,247.6
1999,490.2,630.8,551.1,425.2,627.2,340.5,345.6,734.4,1627.7,854,533.9,234.9,244.9,689.5,374.6,280,382.8,308.3,732.7,112,743.4,551,574.9,274,349.3,500.2,236.8,430.2,569.9,96.5,411.9,834.6,588.8,542.1,66.9,316.4,508.2,374.9,420.5,286.6,847.2,167.4,695,560.3,275.6,113.9,314.7,377.3,350.7,245.8,232.5
