Date,BXMSM,SPTR,SPX,PUTSM,CLL*,BXYSM,VIX¬ ,VXO,BXMD ,BFLY ,CLLZ ,CMBO ,CNDR ,PPUT 
Jan-90,128.62,351.10,326.44,128.41,138.08,136.22,25.16,25.79,155.58,118.42,149.53,149.67,137.52,136.11
Feb-90,129.14,352.52,327.76,128.92,138.63,136.77,25.27,25.90,156.21,118.89,150.14,150.27,138.08,136.66
Mar-90,129.66,353.94,329.08,129.45,139.19,137.32,25.36,25.99,156.84,119.38,150.74,150.88,138.64,137.21
Apr-90,131.08,356.22,330.49,131.32,138.82,138.53,23.68,23.4,158.28,121.39,151.06,152.56,140.59,137.38
May-90,132.44,360.14,333.64,132.59,139.43,140.21,22.36,22.51,160.38,122.38,152.56,154.21,141.95,138.4
Jun-90,132.74,359.81,332.93,133.51,138.82,140.42,21.65,21.78,160.7,123.01,152.39,154.83,143.22,137.91
Jul-90,134.13,366.61,338.59,135,140.71,142.38,20.79,21.1,163.47,123.37,154.69,156.75,143.95,140.03
Aug-90,135.14,370.7,341.83,136.16,141.88,143.81,19.91,20.71,165.49,124.06,156.29,158.21,145.04,141.25
Sep-90,136.09,373.44,343.87,137.31,142.66,144.89,20.08,20.52,167.03,125.05,157.41,159.45,146.02,142.04
Oct-90,135.51,371.09,341.21,136.94,142.37,144.21,21.31,21.52,166.37,125.03,156.93,158.9,145.41,141.5
Nov-90,134.67,367.35,337.3,136.44,141.9,143.14,22.18,22.46,165.09,124.47,155.93,158.06,145.17,140.17
Dec-90,134.21,364.21,333.97,136.41,141.45,142.41,22.96,23.28,164.18,124.63,155.06,157.69,145.21,138.88
Jan-91,135.03,363.95,332.68,137.69,141.93,143.09,23.18,23.23,165.07,126.07,155.62,158.9,145.91,138.19
Feb-91,136.39,366.42,333.92,139.48,142.78,144.48,22.81,22.76,166.9,127.67,156.88,160.71,147.11,138.4
Mar-91,137.61,370.8,336.85,141.12,143.91,145.79,22.75,22.72,168.62,128.84,158.22,162.4,148.06,139.34
Apr-91,138.93,375.22,339.79,142.77,145.16,147.15,22.51,22.6,170.41,130.38,159.53,164.19,149.03,140.29
May-91,140.43,380.49,343.5,144.42,146.71,148.89,22.4,22.58,172.68,131.97,161.26,166.23,149.92,141.6
Jun-91,141.68,384.36,345.89,145.88,147.81,150.17,22.28,22.5,174.24,133.42,162.16,167.91,150.77,142.36
Jul-91,142.82,386.77,346.98,147.21,148.41,151.19,22.62,22.56,175.49,135.2,162.78,169.37,151.75,142.62
Aug-91,144.37,390.92,349.62,148.77,149.49,152.86,22.13,22.27,177.5,137.25,164.02,171.35,153.02,143.42
Sep-91,147.14,398.87,355.69,151.43,151.45,155.83,20.84,21.15,181.14,140.46,166.44,174.65,155.4,145.25
Oct-91,150.28,407.63,362.51,154.41,153.32,159.17,19.73,19.99,185.22,144.61,169.13,178.32,157.88,147.51
Nov-91,153.54,417.01,369.88,157.32,155.35,162.65,18.52,18.78,189.53,148.8,172.09,182.04,160.43,150.09
Dec-91,155.91,423.07,374.3,159.52,156.47,164.94,18.36,18.63,192.4,152.27,173.77,184.84,162.53,151.68
Jan-92,158.77,432.4,381.54,162.1,158.13,167.78,17.77,18.34,195.78,155.99,175.78,188.18,164.67,154.33
Feb-92,161.27,439.66,386.94,164.11,159.35,169.9,17.48,18.14,198.39,159.05,177.17,190.84,166.54,156.44
Mar-92,163.94,445.13,390.74,166.29,160.5,172.16,17.1,17.78,201.16,162.66,178.53,193.67,168.61,157.87
Apr-92,166.25,449.01,393.12,168.39,161.1,173.9,17.04,17.5,203.23,166.1,179.34,196.1,170.65,158.75
May-92,169,453.94,396.42,170.81,161.99,175.96,16.82,17.14,205.64,170.31,180.43,198.85,172.92,159.92
Jun-92,171.58,457.56,398.54,173.22,162.38,177.83,16.65,16.88,207.84,174.78,181.38,201.51,175.45,160.64
Jul-92,174.15,462.25,401.62,175.68,163.02,179.77,16.13,16.37,210.08,178.73,182.34,204.24,177.74,161.7
Aug-92,176.5,466.94,404.66,177.98,163.69,181.61,15.96,16.17,212.07,182.1,183.2,206.78,179.69,162.79
Sep-92,178.47,469.91,406.21,180.17,163.76,183.05,15.89,16.06,213.51,185.31,183.59,209.09,181.7,163.29
Oct-92,180.51,473.98,408.7,182.3,164.29,184.77,15.76,15.98,215.33,188.01,184.33,211.5,183.58,164.2
Nov-92,182.24,477.7,410.89,184.31,164.71,186.24,15.81,16.01,216.92,190.05,184.78,213.71,185.42,164.92
Dec-92,184.54,484.33,415.57,186.71,166,188.58,15.21,15.42,219.56,192.18,186.15,216.45,187.58,166.56
Jan-93,186.22,487.38,417.12,188.73,166.59,190.25,14.65,14.87,221.48,194.23,187,218.59,189.55,167.04
Feb-93,188.11,491.53,419.62,191.01,167.43,192.35,14.23,14.4,223.9,196.94,188.2,221.16,191.83,167.87
Mar-93,189.89,495.76,422.17,193.2,168.28,194.35,13.94,14.13,226.19,199.24,189.36,223.61,193.93,168.77
Apr-93,191.78,501.69,426.17,195.46,169.64,196.69,13.63,13.94,228.85,200.91,190.89,226.24,195.7,170.23
May-93,193.02,505.4,428.27,197.29,170.38,198.16,13.38,13.8,230.59,201.79,191.71,228.14,197.25,171.02
Jun-93,194.69,510.08,431.18,199.33,171.42,200.02,13.34,13.72,232.77,203.46,192.85,230.36,198.94,172.16
Jul-93,196.63,515.49,434.71,201.6,172.72,202.08,13.17,13.6,235.21,205.72,194.23,232.82,200.7,173.55
Aug-93,198.39,519.1,436.7,203.78,173.46,203.54,13.05,13.49,237.17,208.55,195.09,234.87,202.64,174.34
Sep-93,200.53,525.25,440.83,206.1,175.03,205.71,12.9,13.31,239.9,211.07,196.65,237.31,204.44,175.99
Oct-93,202.69,530.58,444.26,208.43,176.26,207.64,12.8,13.1,242.43,213.95,197.99,239.76,206.48,177.33
Nov-93,205.06,536.72,448.35,210.8,177.74,210,12.41,12.69,245.18,216.8,199.77,242.48,208.48,179.02
Dec-93,207.13,541.01,450.89,213.06,178.69,211.81,12.47,12.64,247.29,219.86,201,244.84,210.69,180.09
Jan-94,209.42,545.35,453.45,215.42,179.58,213.67,12.39,12.46,249.47,223.43,202.21,247.33,213.02,181.15
Feb-94,211.77,550.93,457.02,217.85,180.84,215.98,12.24,12.26,252.07,226.48,203.85,250.09,215.3,182.61
Mar-94,213.71,554.6,459,219.94,181.53,217.72,12.39,12.34,254.13,229.48,204.98,252.31,217.81,183.47
Apr-94,214.93,555.26,458.51,221.36,181.47,218.53,13.05,12.81,255.17,232.23,205.38,253.68,220.18,183.52
May-94,216.54,557.59,459.4,223.05,181.77,219.96,13.16,12.8,256.85,234.82,206.46,255.59,222.62,183.86
Jun-94,217.9,559.5,459.93,224.61,181.87,221.26,13.12,12.71,258.41,236.9,207.46,257.31,224.94,184.07
Jul-94,218.65,560.14,459.41,225.53,181.76,222.06,13.43,13.01,259.43,237.76,208.24,258.4,226.73,183.93
Aug-94,219.8,562.46,460.25,226.76,182.01,223.49,13.38,12.9,261.11,238.52,209.38,260.14,229.23,184.27
Sep-94,220.89,565.01,461.25,227.97,182.29,224.99,13.39,12.96,262.82,238.9,210.49,261.91,231.66,184.65
Oct-94,221.68,566.71,461.56,229.02,182.39,226.19,13.5,13.09,264.28,239.21,211.46,263.28,234.04,184.8
Nov-94,222.56,568.54,461.94,230.38,182.48,227.34,13.76,13.27,265.87,240.03,212.34,264.78,236.6,184.92
Dec-94,223.38,569.03,461.26,231.54,182.18,228.13,13.94,13.58,267.03,240.93,212.9,265.93,239.06,184.63
Jan-95,224.21,569.65,460.66,232.89,181.87,229,14.07,13.75,268.22,241.79,213.43,267.15,241.74,184.36
Feb-95,225.04,569.91,459.73,234.31,181.41,229.76,14.18,13.88,269.35,242.92,213.84,268.27,244.57,183.96
Mar-95,226.46,573.42,461.42,236.04,181.96,231.4,13.92,13.69,271.42,243.36,215.15,270.08,246.98,184.6
Apr-95,228.8,580.51,466,238.55,183.42,234.39,13.33,13.22,275.06,244.33,217.59,273.08,249.95,186.23
May-95,231.27,588.57,471.31,241.14,185.29,237.74,13.16,13.11,279.1,245.54,220.21,276.3,253.01,188.38
Jun-95,233.97,598.04,477.72,243.83,187.69,241.51,13.15,13.32,283.59,246.38,223.17,279.84,256.06,190.97
Jul-95,237.39,609.96,486.09,247.11,190.71,246.11,12.85,13.07,289.03,247.68,226.72,284.2,259.53,194.28
Aug-95,240.59,622.3,494.74,250.24,193.98,250.84,13.04,13.38,294.64,248.35,230.6,288.46,262.38,197.78
Sep-95,243.78,632.85,501.94,253.36,196.73,255.18,13.01,13.35,299.9,250.1,234.1,292.5,265.79,200.7
Oct-95,247.37,647.12,512.09,256.84,200.6,260.38,12.88,13.24,305.85,250.87,238.29,297.16,268.08,204.77
Nov-95,250.8,660.09,521.18,260.02,204.17,265.27,12.82,13.3,311.47,251.73,242.18,301.47,270.25,208.49
